global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
96,Dicembre,4,2,1,D1,0,[],[],0,{},0,0,0,0.0,0,1,1,1572.7
97,Dicembre,4,2,2,D2,0,[],[],0,{},0,0,0,0.0,1,1,0,1711.5
98,Dicembre,4,2,3,D3,0,[],[],0,{},0,0,0,0.0,0,0,0,1473.3
99,Dicembre,4,2,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,1,1613.4
100,Dicembre,4,2,5,D5,0,[],[],0,{},0,0,0,0.0,0,1,0,1638.5
101,Dicembre,4,3,1,D1,0,[],[],0,{},0,0,0,2.0,0,1,1,1616.2
102,Dicembre,4,3,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1700.0
103,Dicembre,4,3,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1445.4
104,Dicembre,4,3,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1622.7
105,Dicembre,4,3,5,D5,0,[],[],0,{},0,0,0,0.0,0,0,0,1607.7
106,Dicembre,4,4,1,D1,0,[],[],0,{},0,0,0,0.0,1,1,1,1535.4
107,Dicembre,4,4,2,D2,0,[],[],0,{},0,0,0,0.0,0,1,0,1701.5
108,Dicembre,4,4,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1460.8
109,Dicembre,4,4,4,D4,0,[],[],0,{},0,0,0,0.0,0,1,0,1605.3
110,Dicembre,4,4,5,D5,0,[],[],0,{},0,0,0,0.0,1,1,1,1640.4
111,Dicembre,4,5,1,D1,0,[],[],0,{},0,0,0,0.0,0,2,0,1609.9
112,Dicembre,4,5,2,D2,0,[],[],0,{},0,0,0,0.0,1,0,0,1713.7
113,Dicembre,4,5,3,D3,0,[],[],0,{},0,0,0,0.0,0,1,1,1445.4
114,Dicembre,4,5,4,D4,0,[],[],0,{},0,0,0,0.0,1,1,0,1614.4
115,Dicembre,4,5,5,D5,0,[],[],0,{},0,0,0,1.0,0,1,1,1627.0
