global_day,month,cycle,variant,day_in_variant,day_type,meal_count,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal,energy_reference_kcal,energy_delta_kcal,energy_delta_pct,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,soft_windows_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,review_score
53,Ottobre,2,5,3,D3,3,2.2,1,1,0,1466.6,1467.0,-0.4,-0.0003,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",7,1,0,0,166
54,Ottobre,2,5,4,D4,5,0.0,3,0,0,1624.5,1614.0,10.5,0.0065,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",7,1,0,0,238
55,Ottobre,2,5,5,D5,5,3.6,2,1,0,1617.1,1626.0,-8.9,-0.0055,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",7,1,0,0,242
56,Ottobre,2,6,1,D1,5,2.6,3,0,0,1606.1,1612.0,-5.9,-0.0037,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",7,2,1,0,246
57,Ottobre,2,6,2,D2,6,3.6,2,1,0,1712.1,1709.0,3.1,0.0018,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,0,234
58,Ottobre,2,6,3,D3,3,3.2,2,2,0,1529.9,1467.0,62.9,0.0429,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",7,1,0,0,218
59,Ottobre,2,6,4,D4,5,2.0,5,1,0,1623.3,1614.0,9.3,0.0058,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",7,1,0,0,226
60,Ottobre,2,6,5,D5,5,1.6,1,0,0,1641.0,1626.0,15.0,0.0092,[],[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",7,0,0,0,147
61,Novembre,3,1,1,D1,5,6.8,3,1,0,1606.0,1612.0,-6.0,-0.0037,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 3, ""plant_protein_main"": 7}",7,0,0,1,242
62,Novembre,3,1,2,D2,6,0.0,2,0,0,1677.4,1709.0,-31.6,-0.0185,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 4, ""plant_protein_main"": 7}",7,2,0,0,241
