global_day,month,cycle,variant,day_in_variant,day_type,review_score,direct_hard_failures,direct_soft_warnings,hard_windows_touching,hard_kinds_touching,recipe_repeat_warnings,high_recipe_repeat_warnings,off_season_occurrences,egg_equivalent_units,dairy_meals,pasta_rice_primary_meals,plant_protein_main_meals,energy_kcal
114,Dicembre,4,5,4,D4,230,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",1,0,0,2.0,2,0,0,1613.6
128,Gennaio,5,2,3,D3,230,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",1,0,0,1.6,2,0,0,1465.5
21,Settembre,1,5,1,D1,227,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",4,0,0,7.6,3,1,0,1620.4
49,Ottobre,2,4,4,D4,227,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 2, ""plant_protein_main"": 7}",0,0,0,2.0,2,0,0,1614.2
81,Novembre,3,5,1,D1,227,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",4,0,0,3.6,4,1,0,1618.6
26,Settembre,1,6,1,D1,226,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,1,0,7.6,3,0,0,1611.6
46,Ottobre,2,4,1,D1,226,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,1,0,3.2,4,1,0,1612.2
59,Ottobre,2,6,4,D4,226,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,0,2.0,5,1,0,1623.3
84,Novembre,3,5,4,D4,226,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,0,1.0,2,1,0,1563.4
116,Dicembre,4,6,1,D1,226,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,1,0,4.2,2,1,0,1577.8
134,Gennaio,5,3,4,D4,226,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,0,0.0,3,0,0,1622.7
136,Gennaio,5,4,1,D1,226,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,1,0,4.2,2,1,0,1612.5
170,Febbraio,6,4,5,D5,223,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 1, ""plant_protein_main"": 7}",0,0,0,1.6,2,1,0,1640.7
109,Dicembre,4,4,4,D4,222,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""pasta_rice"": 2, ""plant_protein_main"": 7}",0,0,1,1.6,3,0,0,1608.3
22,Settembre,1,5,2,D2,221,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,0,4.6,3,0,0,1704.6
39,Ottobre,2,2,4,D4,221,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,1,3.6,2,1,0,1623.9
44,Ottobre,2,3,4,D4,221,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,1,5.2,3,1,0,1618.5
47,Ottobre,2,4,2,D2,221,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,0,5.2,4,2,0,1702.5
94,Dicembre,4,1,4,D4,221,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,2,5.0,2,1,0,1625.0
23,Settembre,1,5,3,D3,218,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,5.6,2,1,0,1458.8
25,Settembre,1,5,5,D5,218,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,3.6,3,1,0,1611.2
34,Ottobre,2,1,4,D4,218,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,1,3.6,2,2,0,1620.5
58,Ottobre,2,6,3,D3,218,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,3.2,2,2,0,1529.9
74,Novembre,3,3,4,D4,218,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,0,0.0,2,1,0,1621.4
117,Dicembre,4,6,2,D2,218,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,5.6,5,0,0,1712.3
121,Gennaio,5,1,1,D1,218,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,6.2,3,1,0,1619.2
166,Febbraio,6,4,1,D1,218,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,1,0,2.0,3,1,1,1546.6
41,Ottobre,2,3,1,D1,216,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",3,0,0,0.0,3,2,0,1562.8
42,Ottobre,2,3,2,D2,216,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",3,0,0,0.0,2,1,0,1705.4
97,Dicembre,4,2,2,D2,216,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,1,0.0,3,1,0,1706.1
31,Ottobre,2,1,1,D1,215,"[""cheese_dairy_day""]","[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,0,6.8,2,1,0,1608.6
108,Dicembre,4,4,3,D3,214,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 4, ""pasta_rice"": 1, ""plant_protein_main"": 7}",1,0,0,1.6,2,1,0,1458.9
5,Settembre,1,1,5,D5,213,"[""cheese_dairy_day""]",[],5,"{""cheese_dairy_window"": 5, ""egg_equivalent"": 5, ""pasta_rice"": 5, ""plant_protein_main"": 5}",0,0,0,0.0,2,0,0,1609.1
32,Ottobre,2,1,2,D2,213,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,0,0.0,4,0,0,1711.5
37,Ottobre,2,2,2,D2,213,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,0,1.0,3,0,0,1703.1
92,Dicembre,4,1,2,D2,213,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,0,0.0,2,1,0,1700.5
119,Dicembre,4,6,4,D4,213,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,1,0.0,4,1,0,1603.6
122,Gennaio,5,1,2,D2,213,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,0,0.0,3,0,0,1711.6
125,Gennaio,5,1,5,D5,213,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,2,0.0,3,1,0,1614.0
137,Gennaio,5,4,2,D2,213,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,0,2.0,3,2,0,1712.4
167,Febbraio,6,4,2,D2,213,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",2,0,0,1.0,5,2,0,1712.7
77,Novembre,3,4,2,D2,212,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 6, ""plant_protein_main"": 7}",2,0,1,1.0,5,2,0,1697.6
24,Settembre,1,5,4,D4,210,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,1.6,2,1,0,1608.0
43,Ottobre,2,3,3,D3,210,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,1.6,2,1,0,1475.6
45,Ottobre,2,3,5,D5,210,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,1.6,2,1,0,1586.7
76,Novembre,3,4,1,D1,210,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""plant_protein_main"": 7}",2,1,0,0.0,3,1,1,1608.1
89,Novembre,3,6,4,D4,210,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,0.0,3,2,0,1547.0
135,Gennaio,5,3,5,D5,210,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,0.0,3,1,0,1620.0
165,Febbraio,6,3,5,D5,210,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",1,0,0,0.0,4,1,0,1624.2
169,Febbraio,6,4,4,D4,210,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,1,0.0,2,2,0,1585.9
101,Dicembre,4,3,1,D1,208,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""plant_protein_main"": 7}",3,0,0,2.0,2,1,0,1615.2
19,Settembre,1,4,4,D4,207,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,0,1.0,2,1,0,1565.9
35,Ottobre,2,1,5,D5,207,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,0,0.0,3,1,0,1620.2
40,Ottobre,2,2,5,D5,207,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,0,0.0,2,1,0,1642.9
79,Novembre,3,4,4,D4,207,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,0,0.0,3,2,0,1611.3
120,Dicembre,4,6,5,D5,207,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,0,1.6,2,1,0,1640.1
124,Gennaio,5,1,4,D4,207,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,0,0.6,3,1,0,1618.1
139,Gennaio,5,4,4,D4,207,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""plant_protein_main"": 7}",0,0,0,0.0,2,1,0,1608.9
177,Febbraio,6,6,2,D2,207,"[""cheese_dairy_day""]","[""egg_daily_spread""]",4,"{""cheese_dairy_window"": 4, ""egg_equivalent"": 4, ""pasta_rice"": 4, ""plant_protein_main"": 4}",1,0,0,3.6,2,1,0,1710.1
102,Dicembre,4,3,2,D2,204,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 4, ""plant_protein_main"": 7}",3,0,0,1.0,3,1,0,1700.1
75,Novembre,3,3,5,D5,202,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 5, ""plant_protein_main"": 7}",1,0,0,0.0,4,1,0,1571.9
106,Dicembre,4,4,1,D1,198,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 2, ""plant_protein_main"": 7}",2,1,0,0.0,3,2,1,1535.7
107,Dicembre,4,4,2,D2,197,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 3, ""plant_protein_main"": 7}",2,0,0,0.0,3,2,0,1702.1
4,Settembre,1,1,4,D4,196,"[""cheese_dairy_day""]",[],4,"{""cheese_dairy_window"": 4, ""egg_equivalent"": 4, ""pasta_rice"": 4, ""plant_protein_main"": 4}",0,0,0,0.0,3,1,0,1632.6
104,Dicembre,4,3,4,D4,190,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 2, ""plant_protein_main"": 7}",1,0,0,0.0,2,1,0,1620.8
105,Dicembre,4,3,5,D5,190,"[""cheese_dairy_day""]",[],7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 2, ""plant_protein_main"": 7}",1,0,0,0.0,3,2,0,1607.5
8,Settembre,1,2,3,D3,178,[],"[""egg_daily_spread""]",7,"{""cheese_dairy_window"": 7, ""egg_equivalent"": 7, ""pasta_rice"": 7, ""plant_protein_main"": 7}",1,0,0,5.6,1,0,0,1463.7
